연도,시도,구분,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
2019 ,부산광역시,심장,281 ,139 ,420 ,30 ,19 ,49 ,311 ,158 ,469 
2019 ,대구광역시,심장,105 ,77 ,182 ,45 ,13 ,58 ,150 ,90 ,240 
2019 ,인천광역시,심장,124 ,73 ,197 ,31 ,15 ,46 ,155 ,88 ,243 
2019 ,광주광역시,심장,79 ,29 ,108 ,19 ,11 ,30 ,98 ,40 ,138 
2019 ,대전광역시,심장,63 ,41 ,104 ,17 ,4 ,21 ,80 ,45 ,125 
2019 ,울산광역시,심장,90 ,64 ,154 ,11 ,7 ,18 ,101 ,71 ,172 
2019 ,세종특별자치시,심장,10 ,4 ,14 ,4 ,2 ,6 ,14 ,6 ,20 
2019 ,경기도,심장,660 ,385 ,1045 ,173 ,85 ,258 ,833 ,470 ,1303 
2019 ,강원도,심장,68 ,37 ,105 ,17 ,9 ,26 ,85 ,46 ,131 
2019 ,충청북도,심장,69 ,41 ,110 ,21 ,9 ,30 ,90 ,50 ,140 
2019 ,충청남도,심장,90 ,80 ,170 ,32 ,12 ,44 ,122 ,92 ,214 
2019 ,전라북도,심장,84 ,44 ,128 ,19 ,11 ,30 ,103 ,55 ,158 
2019 ,전라남도,심장,96 ,59 ,155 ,20 ,10 ,30 ,116 ,69 ,185 
2019 ,경상북도,심장,153 ,98 ,251 ,51 ,15 ,66 ,204 ,113 ,317 
2019 ,경상남도,심장,118 ,90 ,208 ,40 ,15 ,55 ,158 ,105 ,263 
2019 ,제주특별자치도,심장,40 ,22 ,62 ,16 ,2 ,18 ,56 ,24 ,80 
2019 ,소계,호흡기,8381 ,2881 ,11262 ,161 ,99 ,260 ,8542 ,2980 ,11522 
2019 ,서울특별시,호흡기,1529 ,542 ,2071 ,35 ,21 ,56 ,1564 ,563 ,2127 
2019 ,부산광역시,호흡기,717 ,250 ,967 ,17 ,9 ,26 ,734 ,259 ,993 
2019 ,대구광역시,호흡기,321 ,90 ,411 ,9 ,1 ,10 ,330 ,91 ,421 
2019 ,인천광역시,호흡기,451 ,180 ,631 ,8 ,4 ,12 ,459 ,184 ,643 
2019 ,광주광역시,호흡기,203 ,83 ,286 ,3 ,0 ,3 ,206 ,83 ,289 
2019 ,대전광역시,호흡기,213 ,77 ,290 ,4 ,6 ,10 ,217 ,83 ,300 
2019 ,울산광역시,호흡기,184 ,66 ,250 ,5 ,3 ,8 ,189 ,69 ,258 
2019 ,세종특별자치시,호흡기,33 ,14 ,47 ,0 ,1 ,1 ,33 ,15 ,48 
2019 ,제주특별자치도,호흡기,176 ,61 ,237 ,3 ,2 ,5 ,179 ,63 ,242 
2019 ,소계,간,630 ,233 ,863 ,8679 ,3612 ,12291 ,9309 ,3845 ,13154 
2019 ,서울특별시,간,137 ,43 ,180 ,1603 ,732 ,2335 ,1740 ,775 ,2515 
2019 ,부산광역시,간,59 ,18 ,77 ,503 ,208 ,711 ,562 ,226 ,788 
2019 ,대구광역시,간,25 ,12 ,37 ,427 ,185 ,612 ,452 ,197 ,649 
2019 ,인천광역시,간,40 ,12 ,52 ,399 ,198 ,597 ,439 ,210 ,649 
2019 ,광주광역시,간,18 ,2 ,20 ,240 ,103 ,343 ,258 ,105 ,363 
2019 ,대전광역시,간,23 ,3 ,26 ,203 ,98 ,301 ,226 ,101 ,327 
2019 ,울산광역시,간,10 ,3 ,13 ,232 ,94 ,326 ,242 ,97 ,339 
2019 ,세종특별자치시,간,0 ,3 ,3 ,38 ,19 ,57 ,38 ,22 ,60 
2019 ,제주특별자치도,간,11 ,8 ,19 ,121 ,39 ,160 ,132 ,47 ,179 
2019 ,소계,안면,820 ,595 ,1415 ,739 ,519 ,1258 ,1559 ,1114 ,2673 
2019 ,서울특별시,안면,92 ,94 ,186 ,120 ,79 ,199 ,212 ,173 ,385 
2019 ,부산광역시,안면,74 ,41 ,115 ,66 ,52 ,118 ,140 ,93 ,233 
2019 ,대구광역시,안면,45 ,29 ,74 ,34 ,29 ,63 ,79 ,58 ,137 
2019 ,인천광역시,안면,42 ,31 ,73 ,37 ,32 ,69 ,79 ,63 ,142 
2019 ,광주광역시,안면,23 ,14 ,37 ,15 ,13 ,28 ,38 ,27 ,65 
2019 ,대전광역시,안면,36 ,13 ,49 ,17 ,9 ,26 ,53 ,22 ,75 
2019 ,울산광역시,안면,27 ,10 ,37 ,20 ,13 ,33 ,47 ,23 ,70 
2019 ,세종특별자치시,안면,5 ,3 ,8 ,3 ,2 ,5 ,8 ,5 ,13 
2019 ,제주특별자치도,안면,8 ,4 ,12 ,10 ,4 ,14 ,18 ,8 ,26 
2019 ,소계,장루.요루,891 ,550 ,1441 ,8554 ,5295 ,13849 ,9445 ,5845 ,15290 
2019 ,서울특별시,장루.요루,177 ,105 ,282 ,1607 ,966 ,2573 ,1784 ,1071 ,2855 
2019 ,부산광역시,장루.요루,62 ,45 ,107 ,624 ,342 ,966 ,686 ,387 ,1073 
